,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,SnowFall,PrecipTotal,AvgSpeed
86,2007-06-13,86.5,64.0,75.5,53.0,62.0,0.0,0.0,8.6
88,2007-06-14,89.0,66.0,78.0,54.5,63.5,0.0,0.0,6.6
90,2007-06-15,90.0,65.0,77.5,56.0,64.5,0.0,0.0,4.5
92,2007-06-16,92.5,67.0,80.0,60.5,67.5,0.0,0.001,5.949999999999999
94,2007-06-17,91.0,70.5,81.0,64.5,70.0,0.0,0.08,6.199999999999999
96,2007-06-18,89.0,71.0,80.0,65.0,70.0,0.0,0.15000000000000002,13.85
98,2007-06-19,80.5,65.0,73.0,55.0,63.0,0.0,0.755,11.350000000000001
100,2007-06-20,84.5,61.5,73.5,51.0,61.0,0.0,0.0,8.25
102,2007-06-21,78.5,63.5,71.0,51.0,60.5,0.0,0.0055,10.149999999999999
104,2007-06-22,75.5,61.5,69.0,49.5,58.0,0.0,0.001,8.399999999999999
106,2007-06-23,67.5,61.5,65.0,59.0,61.5,0.0,0.195,8.55
108,2007-06-24,76.0,64.0,70.0,62.0,65.0,0.0,0.0,7.0
110,2007-06-25,87.5,66.0,77.0,66.5,70.0,0.0,0.0,6.35
112,2007-06-26,91.5,71.5,81.5,69.0,72.0,0.0,0.0805,7.6
114,2007-06-27,90.0,71.0,80.5,69.5,72.0,0.0,0.25,8.65
116,2007-06-28,73.5,59.5,66.5,55.5,60.5,0.0,0.0,12.9
118,2007-06-29,70.5,56.0,63.5,55.5,59.5,0.0,0.0,8.25
120,2007-06-30,78.0,56.0,67.5,47.5,57.0,0.0,0.0,6.0
122,2007-07-01,75.5,57.5,67.0,51.5,58.5,0.0,0.0,9.149999999999999
124,2007-07-02,78.0,55.5,67.0,50.0,58.5,0.0,0.0,8.3
126,2007-07-03,83.0,61.5,72.5,56.5,63.0,0.0,0.245,7.35
128,2007-07-04,85.0,67.0,76.5,65.0,69.0,0.0,0.41000000000000003,8.5
130,2007-07-05,88.5,70.5,79.5,60.0,67.0,0.0,0.0,7.5
132,2007-07-06,85.0,67.0,76.0,57.0,64.5,0.0,0.0,5.5
134,2007-07-07,89.0,66.0,77.5,62.5,68.5,0.0,0.0,8.35
136,2007-07-08,93.5,75.0,84.5,67.0,72.0,0.0,0.0,12.899999999999999
138,2007-07-09,93.5,71.0,82.5,66.5,70.5,0.0,0.27,8.8
140,2007-07-10,89.0,69.5,79.5,67.0,70.5,0.0,0.255,10.35
142,2007-07-11,77.0,62.5,70.0,51.0,59.0,0.0,0.0,11.05
144,2007-07-12,80.0,60.5,70.5,51.0,59.5,0.0,0.0,11.25
146,2007-07-13,76.0,58.5,67.5,52.5,58.5,0.0,0.0,5.55
148,2007-07-14,84.5,61.5,73.5,55.0,62.0,0.0,0.0,13.55
150,2007-07-15,81.0,62.0,71.5,52.5,61.0,0.0,0.0,5.7
152,2007-07-16,82.0,65.5,74.0,60.0,65.0,0.0,0.23,5.9
154,2007-07-17,83.0,68.5,76.0,65.5,69.0,0.0,0.11,6.95
156,2007-07-18,85.0,69.0,77.0,68.5,71.0,0.0,1.235,10.35
158,2007-07-19,82.5,63.0,73.0,62.5,66.0,0.0,0.085,13.15
160,2007-07-20,74.5,60.0,67.5,52.5,59.0,0.0,0.0,10.3
162,2007-07-21,74.5,58.0,66.5,52.0,58.5,0.0,0.0,7.4
164,2007-07-22,81.0,59.5,70.5,54.5,61.0,0.0,0.0,3.4
166,2007-07-23,82.5,61.5,72.5,55.0,63.0,0.0,0.0,3.95
168,2007-07-24,82.0,65.0,74.0,57.5,64.0,0.0,0.0005,5.050000000000001
170,2007-07-25,84.0,70.5,77.5,60.5,66.5,0.0,0.0005,6.8
172,2007-07-26,83.5,65.0,74.5,65.0,68.0,0.0,0.54,9.65
174,2007-07-27,83.0,70.0,77.0,67.5,70.0,0.0,0.10500000000000001,8.0
176,2007-07-28,80.0,68.0,74.0,65.0,68.0,0.0,0.0,10.45
178,2007-07-29,85.0,65.0,75.0,56.5,64.0,0.0,0.0,6.300000000000001
180,2007-07-30,87.5,63.5,76.0,56.0,64.5,0.0,0.0,4.449999999999999
182,2007-07-31,90.0,68.5,79.5,60.5,68.0,0.0,0.0,4.95
184,2007-08-01,91.5,69.0,80.5,62.5,69.5,0.0,0.0,3.9
186,2007-08-02,91.0,71.5,81.5,66.0,71.5,0.0,0.0,6.550000000000001
188,2007-08-03,89.0,71.0,80.5,57.0,66.5,0.0,0.0,5.75
190,2007-08-04,81.0,66.0,74.0,58.0,64.5,0.0,0.025,6.35
192,2007-08-05,88.0,67.5,78.0,71.0,72.5,0.0,1.2,9.899999999999999
194,2007-08-06,86.5,74.5,80.5,72.0,74.0,0.0,0.155,4.75
196,2007-08-07,91.5,72.5,82.5,73.0,76.0,0.0,0.685,8.9
198,2007-08-08,87.0,73.5,80.5,71.5,73.5,0.0,0.075,6.65
200,2007-08-09,84.5,72.5,78.5,71.0,73.0,0.0,0.255,6.15
202,2007-08-10,86.0,71.5,79.0,68.5,72.0,0.0,0.0,5.65
204,2007-08-11,88.5,67.5,78.0,65.0,70.0,0.0,0.0,3.9
206,2007-08-12,87.5,67.5,78.0,67.0,70.5,0.0,0.26,6.0
208,2007-08-13,80.5,67.0,74.0,55.5,63.5,0.0,0.0,7.300000000000001
210,2007-08-14,84.0,65.0,75.0,66.5,69.5,0.0,0.43,8.5
212,2007-08-15,80.5,71.5,76.5,68.0,70.5,0.0,0.53,6.449999999999999
214,2007-08-16,77.0,66.0,71.5,64.5,67.5,0.0,0.0,5.7
216,2007-08-17,79.5,62.5,71.5,54.0,61.5,0.0,0.0,7.1
218,2007-08-18,68.5,59.5,64.5,54.0,58.0,0.0,0.255,7.55
220,2007-08-19,68.5,62.0,65.5,62.5,64.0,0.0,1.33,7.45
222,2007-08-20,77.0,68.0,72.5,68.5,69.5,0.0,0.6950000000000001,5.800000000000001
224,2007-08-21,86.0,69.0,77.5,70.0,72.0,0.0,0.0055,6.0
226,2007-08-22,90.0,69.5,80.0,70.5,73.0,0.0,0.625,8.95
228,2007-08-23,88.0,69.5,79.0,69.0,71.0,0.0,2.1550000000000002,10.399999999999999
230,2007-08-24,80.5,69.0,75.0,67.0,69.0,0.0,0.22,7.199999999999999
232,2007-08-25,77.5,64.5,71.5,63.0,66.0,0.0,0.29500000000000004,6.0
234,2007-08-26,78.5,60.5,70.0,55.0,61.5,0.0,0.0,5.0
236,2007-08-27,79.0,61.5,70.5,59.5,64.0,0.0,0.0,7.35
238,2007-08-28,90.5,68.0,79.5,65.5,70.0,0.0,0.0,8.9
240,2007-08-29,85.5,68.5,77.5,64.5,69.0,0.0,0.001,8.5
242,2007-08-30,75.0,58.5,67.0,54.0,60.5,0.0,0.0,10.4
244,2007-08-31,76.5,57.0,67.0,53.0,59.5,0.0,0.0,4.9
246,2007-09-01,80.0,58.5,69.5,55.5,61.5,0.0,0.0,4.7
248,2007-09-02,84.5,61.5,73.0,56.5,63.0,0.0,0.0,5.5
250,2007-09-03,88.0,65.0,76.5,61.0,67.0,0.0,0.0,6.0
252,2007-09-04,89.5,65.0,77.5,59.5,66.5,0.0,0.0,4.65
254,2007-09-05,90.5,69.0,80.0,62.5,69.0,0.0,0.0005,6.6
256,2007-09-06,83.0,73.5,78.5,66.5,70.0,0.0,0.13,12.55
258,2007-09-07,84.0,70.5,77.5,67.5,70.0,0.0,0.43000000000000005,13.45
260,2007-09-08,78.0,66.0,72.0,57.5,63.5,0.0,0.0,8.3
262,2007-09-09,79.5,63.0,71.5,59.0,63.5,0.0,0.0,10.4
264,2007-09-10,73.5,54.5,64.0,58.5,61.0,0.0,0.305,9.35
266,2007-09-11,71.0,50.5,61.0,44.0,52.0,0.0,0.001,13.6
268,2007-09-12,66.5,46.0,56.5,42.5,49.5,0.0,0.0,5.8
270,2007-09-13,78.5,51.5,65.0,44.0,54.0,0.0,0.0,8.1
272,2007-09-14,66.5,46.0,56.5,39.5,48.5,0.0,0.0,13.2
274,2007-09-15,61.5,40.5,51.0,34.0,44.0,0.0,0.0,6.25
276,2007-09-16,71.5,46.5,59.5,39.0,49.5,0.0,0.0,7.8
278,2007-09-17,80.0,53.5,67.0,48.5,57.0,0.0,0.0,11.55
280,2007-09-18,88.5,64.5,77.0,57.5,65.0,0.0,0.0,12.95
282,2007-09-19,84.0,66.5,75.5,59.0,65.0,0.0,0.0,9.35
284,2007-09-20,77.0,61.5,69.5,59.0,63.5,0.0,0.0,6.35
286,2007-09-21,89.0,66.0,77.5,59.0,66.0,0.0,0.0,11.95
288,2007-09-22,73.0,54.5,64.0,44.0,54.0,0.0,0.0,7.25
290,2007-09-23,83.5,52.5,68.0,50.0,58.5,0.0,0.0,5.85
292,2007-09-24,90.5,69.5,80.0,62.5,68.5,0.0,0.0,11.2
294,2007-09-25,84.0,65.0,74.5,65.5,69.0,0.0,0.14,9.95
296,2007-09-26,68.5,54.0,61.5,50.5,55.5,0.0,0.115,6.949999999999999
298,2007-09-27,74.5,50.5,62.5,49.0,55.0,0.0,0.001,6.15
300,2007-09-28,73.0,53.0,63.0,46.0,53.5,0.0,0.0,6.85
302,2007-09-29,81.0,51.0,66.0,45.5,55.0,0.0,0.0,9.3
304,2007-09-30,83.5,60.0,72.0,48.5,59.0,0.0,0.14,13.899999999999999
306,2007-10-01,68.5,59.0,64.0,59.0,61.0,0.0,0.22999999999999998,8.5
308,2007-10-02,79.0,58.0,69.0,59.0,63.0,0.0,0.1,10.7
310,2007-10-03,74.0,55.5,65.0,47.5,56.0,0.0,0.0005,7.1
312,2007-10-04,82.5,53.5,68.5,56.0,61.5,0.0,0.0,5.25
314,2007-10-05,84.5,65.0,75.0,65.0,68.5,0.0,0.03,7.0
316,2007-10-06,87.5,70.0,79.0,66.5,70.5,0.0,0.0,7.050000000000001
318,2007-10-07,87.5,68.5,78.0,65.5,70.0,0.0,0.0,5.9
320,2007-10-08,87.5,61.0,74.5,60.5,66.0,0.0,0.0,10.0
322,2007-10-09,76.5,49.5,63.5,44.0,53.0,0.0,0.0,13.05
324,2007-10-10,53.5,47.0,50.5,37.5,44.0,0.0,0.001,15.05
326,2007-10-11,55.0,47.0,51.0,39.0,45.0,0.0,0.0,14.2
328,2007-10-12,56.5,43.0,50.0,35.0,43.0,0.0,0.0,5.0
330,2007-10-13,59.0,42.0,51.0,40.5,47.0,0.0,0.0,4.1
332,2007-10-14,62.0,54.0,58.0,48.0,52.5,0.0,0.08,6.3
334,2007-10-15,75.5,53.0,64.5,51.0,57.0,0.0,0.05500000000000001,6.25
336,2007-10-16,67.5,54.0,61.0,54.5,57.5,0.0,0.215,7.4
338,2007-10-17,73.0,48.5,61.0,53.0,57.0,0.0,0.075,9.45
340,2007-10-18,78.5,59.5,69.5,56.5,61.5,0.0,0.32,18.049999999999997
342,2007-10-19,60.5,52.5,56.5,48.0,52.0,0.0,0.0055,17.35
344,2007-10-20,73.5,47.0,60.5,43.0,52.0,0.0,0.0,11.85
346,2007-10-21,79.5,60.5,70.0,46.5,56.5,0.0,0.0,17.5
348,2007-10-22,66.5,46.5,57.0,47.0,50.5,0.0,0.155,9.75
350,2007-10-23,55.5,44.5,50.5,37.5,44.5,0.0,0.015,8.05
352,2007-10-24,54.0,44.0,49.0,35.0,42.5,0.0,0.0,15.9
354,2007-10-25,56.0,45.0,50.5,39.5,46.0,0.0,0.001,14.399999999999999
356,2007-10-26,65.5,53.0,59.5,48.5,52.0,0.0,0.37,7.050000000000001
358,2007-10-27,56.0,38.0,47.0,39.5,45.5,0.0,0.045,9.5
360,2007-10-28,56.0,34.0,45.0,30.0,39.0,0.0,0.0,4.15
362,2007-10-29,60.5,39.0,50.0,32.0,42.0,0.0,0.0,9.850000000000001
364,2007-10-30,66.0,41.5,54.0,37.5,46.0,0.0,0.0,11.7
366,2007-10-31,62.5,42.0,52.5,37.5,46.0,0.0,0.0,14.65
368,2008-05-01,73.5,48.0,61.0,51.0,56.5,0.0,0.0005,10.95
370,2008-05-02,74.0,53.0,64.0,55.5,59.0,0.0,1.01,14.05
372,2008-05-03,56.0,43.5,50.0,41.5,46.0,0.0,0.0055,12.7
374,2008-05-04,65.5,38.5,52.5,33.5,45.0,0.0,0.0,5.949999999999999
376,2008-05-05,74.5,50.0,62.5,38.0,50.0,0.0,0.0,6.6
378,2008-05-06,81.5,49.0,65.5,43.5,55.0,0.0,0.0,7.95
380,2008-05-07,70.5,49.5,60.5,52.5,56.0,0.0,0.735,11.7
382,2008-05-08,59.0,46.0,52.5,35.5,44.5,0.0,0.0,13.8
384,2008-05-09,58.0,41.5,50.0,34.5,43.5,0.0,0.0,6.95
386,2008-05-10,61.0,39.5,50.5,38.0,45.5,0.0,0.0,6.449999999999999
388,2008-05-11,59.0,46.5,53.0,43.5,47.5,0.0,1.205,17.75
390,2008-05-12,54.5,40.5,47.5,38.5,43.0,0.0,0.0,7.699999999999999
392,2008-05-13,73.0,42.5,58.0,45.0,51.5,0.0,0.2,15.15
394,2008-05-14,62.5,45.5,54.5,48.5,52.0,0.0,0.02,9.25
396,2008-05-15,57.0,43.0,50.0,37.0,45.0,0.0,0.0,8.0
398,2008-05-16,72.5,40.5,57.0,41.0,50.0,0.0,0.0,9.100000000000001
400,2008-05-17,73.0,51.0,62.5,41.0,52.0,0.0,0.19,14.399999999999999
402,2008-05-18,55.0,44.5,50.0,39.5,45.5,0.0,0.0,8.05
404,2008-05-19,59.5,41.0,50.5,33.5,43.5,0.0,0.001,5.95
406,2008-05-20,65.0,48.0,57.0,37.0,47.0,0.0,0.0005,8.45
408,2008-05-21,65.5,43.0,54.5,36.0,46.0,0.0,0.0,9.0
410,2008-05-22,57.5,46.0,52.0,38.0,45.0,0.0,0.0,10.5
412,2008-05-23,58.0,47.0,53.0,39.5,45.5,0.0,0.0,10.8
414,2008-05-24,67.5,42.0,55.0,39.0,48.0,0.0,0.0,7.9
416,2008-05-25,78.0,47.5,63.0,49.0,57.0,0.0,0.0005,12.15
418,2008-05-26,82.5,50.0,66.5,60.0,64.5,0.0,0.24,11.9
420,2008-05-27,51.5,43.5,47.5,35.5,42.5,0.0,0.0005,18.35
422,2008-05-28,61.5,44.0,53.0,33.5,43.5,0.0,0.0,8.6
424,2008-05-29,67.5,43.5,56.0,37.5,47.5,0.0,0.045,4.0
426,2008-05-30,77.0,56.5,67.0,59.5,62.5,0.0,0.35,10.55
428,2008-05-31,79.0,59.5,69.5,56.0,62.0,0.0,0.0,12.100000000000001
430,2008-06-01,72.5,54.5,64.0,46.5,55.0,0.0,0.0,5.65
432,2008-06-02,85.5,58.5,72.0,52.5,60.5,0.0,0.0005,5.25
434,2008-06-03,71.5,56.0,64.0,56.5,58.5,0.0,0.72,7.949999999999999
436,2008-06-04,78.0,56.5,67.5,60.0,62.5,0.0,0.0105,4.75
438,2008-06-05,87.5,64.0,76.0,68.5,71.5,0.0,0.43,13.9
440,2008-06-06,86.5,73.0,80.0,68.5,72.0,0.0,0.0155,20.5
442,2008-06-07,84.5,70.5,77.5,71.0,73.0,0.0,0.09,12.8
444,2008-06-08,86.0,64.5,75.5,68.5,70.5,0.0,1.275,11.85
446,2008-06-09,74.0,65.0,70.0,64.0,66.0,0.0,0.175,8.25
448,2008-06-10,79.5,59.5,69.5,56.0,62.0,0.0,0.0055,10.0
450,2008-06-11,86.0,63.5,75.0,55.5,64.0,0.0,0.0,10.2
452,2008-06-12,91.0,73.0,82.0,63.0,69.5,0.0,0.0,15.7
454,2008-06-13,82.0,65.5,74.0,62.5,66.0,0.0,0.29000000000000004,10.350000000000001
456,2008-06-14,84.0,60.0,72.5,52.5,61.5,0.0,0.0,9.05
458,2008-06-15,81.5,60.5,71.0,60.0,64.0,0.0,0.235,9.75
460,2008-06-16,73.0,59.5,66.5,49.0,57.0,0.0,0.0,11.35
462,2008-06-17,76.0,55.5,66.0,46.0,55.0,0.0,0.0,11.0
464,2008-06-18,76.0,57.0,67.0,48.5,56.0,0.0,0.0,7.4
466,2008-06-19,80.5,53.5,67.5,46.5,56.5,0.0,0.0,5.25
468,2008-06-20,82.5,59.0,71.0,52.5,59.5,0.0,0.065,7.550000000000001
470,2008-06-21,82.5,61.5,72.5,52.5,61.0,0.0,0.01,7.35
472,2008-06-22,81.5,59.0,70.5,52.5,59.5,0.0,0.09,4.75
474,2008-06-23,76.5,56.5,67.0,54.0,59.0,0.0,0.0,6.4
476,2008-06-24,82.0,56.0,69.5,52.5,60.0,0.0,0.0,5.6
478,2008-06-25,79.0,66.5,73.0,64.5,67.5,0.0,0.095,8.9
480,2008-06-26,86.5,70.5,78.5,66.5,70.5,0.0,0.0,7.55
482,2008-06-27,84.5,67.5,76.0,67.0,70.0,0.0,0.001,8.25
484,2008-06-28,83.5,65.0,74.5,55.0,63.0,0.0,0.0205,13.85
486,2008-06-29,76.0,60.5,68.5,58.0,61.0,0.0,0.39999999999999997,9.899999999999999
488,2008-06-30,80.5,59.0,70.0,49.5,58.0,0.0,0.0,9.35
490,2008-07-01,83.5,57.5,71.0,50.5,60.0,0.0,0.0,8.15
492,2008-07-02,88.0,63.0,75.5,62.0,66.5,0.0,0.16,12.45
494,2008-07-03,71.0,57.0,64.0,51.0,57.0,0.0,0.001,12.75
496,2008-07-04,75.5,55.0,65.5,50.0,57.5,0.0,0.0,7.05
498,2008-07-05,79.5,55.5,67.5,52.0,59.5,0.0,0.0,6.35
500,2008-07-06,87.5,61.0,74.5,57.5,65.0,0.0,0.0,9.15
502,2008-07-07,87.0,72.5,80.0,67.5,71.0,0.0,0.07,11.65
504,2008-07-08,85.5,58.0,72.0,67.5,71.0,0.0,0.15500000000000003,8.7
506,2008-07-09,85.0,67.0,76.0,55.0,63.5,0.0,0.0005,9.7
508,2008-07-10,83.0,64.0,73.5,62.5,66.5,0.0,0.575,8.899999999999999
510,2008-07-11,88.5,64.0,76.5,65.0,69.0,0.0,0.185,7.95
512,2008-07-12,82.0,65.5,74.0,63.5,66.5,0.0,0.69,10.65
514,2008-07-13,79.0,61.5,70.5,53.5,61.0,0.0,0.0,13.100000000000001
516,2008-07-14,84.0,62.0,73.0,54.0,62.0,0.0,0.0,7.449999999999999
518,2008-07-15,90.5,64.0,77.5,62.5,68.5,0.0,0.0,7.8500000000000005
520,2008-07-16,90.5,72.0,81.5,66.5,70.5,0.0,0.0,7.300000000000001
522,2008-07-17,89.5,72.5,81.0,66.0,71.0,0.0,0.0,9.15
524,2008-07-18,88.5,73.5,81.0,67.5,71.5,0.0,0.0205,6.8
526,2008-07-19,79.0,68.5,74.0,69.0,70.0,0.0,1.415,5.85
528,2008-07-20,86.0,68.0,77.0,68.0,71.0,0.0,0.585,6.35
530,2008-07-21,83.5,69.0,76.5,65.5,68.5,0.0,0.13,7.7
532,2008-07-22,76.0,64.5,70.5,60.0,64.0,0.0,0.0305,9.0
534,2008-07-23,81.0,60.0,71.0,52.0,60.5,0.0,0.0,8.9
536,2008-07-24,82.0,59.5,71.0,52.5,61.0,0.0,0.0,4.550000000000001
538,2008-07-25,83.0,63.0,73.5,63.0,67.0,0.0,0.0,7.25
540,2008-07-26,84.5,66.0,75.5,58.0,65.5,0.0,0.0,8.4
542,2008-07-27,83.0,62.5,73.0,58.0,64.5,0.0,0.0,6.75
544,2008-07-28,84.5,68.0,76.5,63.0,67.5,0.0,0.0,6.25
546,2008-07-29,88.5,67.5,78.5,67.0,70.5,0.0,0.14,7.9
548,2008-07-30,89.5,72.0,81.0,66.0,70.5,0.0,0.0,9.149999999999999
550,2008-07-31,89.0,71.5,80.5,68.0,71.0,0.0,0.32,6.35
552,2008-08-01,89.0,70.0,80.0,68.5,72.5,0.0,0.525,4.65
554,2008-08-02,80.5,66.5,73.5,59.5,65.0,0.0,0.0,9.2
556,2008-08-03,84.5,62.0,73.5,61.0,66.5,0.0,0.0,6.25
558,2008-08-04,87.5,69.5,79.0,68.5,70.5,0.001,1.51,9.05
560,2008-08-05,87.5,70.0,79.0,68.0,71.5,0.0,0.04,6.85
562,2008-08-06,84.0,67.0,76.0,60.0,66.0,0.0,0.005,7.5
564,2008-08-07,81.5,63.5,72.5,56.5,63.0,0.0,0.005,9.25
566,2008-08-08,78.5,63.5,71.0,54.0,61.0,0.0,0.0,7.050000000000001
568,2008-08-09,79.0,61.5,70.5,58.0,62.5,0.0,0.001,9.3
570,2008-08-10,74.0,59.5,67.0,52.5,58.5,0.0,0.0,9.45
572,2008-08-11,76.5,59.5,68.0,57.0,61.5,0.0,0.0,6.199999999999999
574,2008-08-12,77.0,61.5,69.5,57.0,62.0,0.0,0.0,3.9
576,2008-08-13,78.0,66.0,72.5,59.0,63.0,0.0,0.0305,4.9
578,2008-08-14,78.5,64.0,71.5,60.0,64.0,0.0,0.0005,8.15
580,2008-08-15,78.0,61.0,70.0,54.5,61.0,0.0,0.0,8.5
582,2008-08-16,82.5,58.5,71.0,53.0,61.0,0.0,0.0,6.45
584,2008-08-17,84.5,63.0,74.0,59.5,65.0,0.0,0.0,8.4
586,2008-08-18,85.0,65.0,75.0,57.5,64.5,0.0,0.0,7.2
588,2008-08-19,83.0,64.0,74.0,64.0,67.5,0.0,0.0,6.35
590,2008-08-20,81.0,66.0,73.5,59.5,65.0,0.0,0.0,7.550000000000001
592,2008-08-21,82.0,68.5,75.5,60.5,66.0,0.0,0.001,8.05
594,2008-08-22,83.5,73.5,79.0,68.5,71.5,0.0,0.0455,12.15
596,2008-08-23,88.5,68.5,79.0,67.0,70.5,0.0,0.0,9.5
598,2008-08-24,77.5,64.0,71.0,57.0,62.5,0.0,0.0,9.85
600,2008-08-25,74.0,65.0,69.5,55.0,60.5,0.0,0.0,12.25
602,2008-08-26,75.5,61.0,68.5,54.5,60.5,0.0,0.0,8.95
604,2008-08-27,82.5,60.5,71.5,56.5,63.0,0.0,0.0,5.300000000000001
606,2008-08-28,80.5,65.0,73.0,64.5,67.5,0.0,0.04,6.6
608,2008-08-29,84.5,65.5,75.5,59.5,65.5,0.0,0.0205,6.3
610,2008-08-30,87.0,58.5,73.0,55.0,63.0,0.0,0.0,3.5
612,2008-08-31,89.5,62.5,76.0,56.5,64.5,0.0,0.0,5.300000000000001
614,2008-09-01,89.5,64.5,77.0,54.0,63.5,0.0,0.0,7.800000000000001
616,2008-09-02,94.5,66.5,81.0,61.0,68.0,0.0,0.0005,4.45
618,2008-09-03,77.0,67.0,72.5,61.0,64.5,0.0,0.01,11.25
620,2008-09-04,67.5,62.0,65.0,62.0,63.0,0.0,2.79,12.3
622,2008-09-05,69.0,57.5,63.5,57.0,59.5,0.0,0.005,5.800000000000001
624,2008-09-06,74.0,54.5,64.5,54.0,58.5,0.0,0.0055,5.4
626,2008-09-07,74.0,56.5,65.5,51.5,57.5,0.0,0.005,7.0
628,2008-09-08,68.5,52.5,61.0,53.0,55.5,0.0,1.12,6.550000000000001
630,2008-09-09,68.5,49.0,59.0,45.5,52.0,0.0,0.005,6.15
632,2008-09-10,72.0,49.0,60.5,47.5,54.0,0.0,0.0,5.0
634,2008-09-11,79.0,56.0,67.5,57.0,61.5,0.0,0.0005,9.600000000000001
636,2008-09-12,73.0,69.0,71.0,67.5,68.5,0.0,0.495,6.949999999999999
638,2008-09-13,76.0,68.5,72.5,70.0,71.0,0.0,4.8549999999999995,9.399999999999999
640,2008-09-14,72.0,58.0,65.0,61.5,62.5,0.0,1.595,10.0
642,2008-09-15,64.0,54.0,59.0,52.0,55.5,0.0,0.0055,6.199999999999999
644,2008-09-16,71.0,49.5,60.5,50.0,55.0,0.0,0.0,6.0
646,2008-09-17,82.5,57.5,70.5,56.0,60.5,0.0,0.0,7.55
648,2008-09-18,74.0,59.0,66.5,55.5,60.0,0.0,0.0,7.550000000000001
650,2008-09-19,78.0,56.0,67.5,53.5,59.5,0.0,0.0,6.4
652,2008-09-20,82.0,57.5,70.0,56.5,61.5,0.0,0.0,3.0
654,2008-09-21,80.0,59.0,69.5,61.0,64.5,0.0,0.0,3.9000000000000004
656,2008-09-22,81.5,62.0,72.0,59.0,64.0,0.0,0.0,7.65
658,2008-09-23,82.5,61.0,72.0,56.5,62.5,0.0,0.0,7.65
